awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,tmdbid,bechdeltest_rating,human,genderLabel,humanLabel
82nd Academy Awards,2010,Academy Award for Best Actress,http://www.wikidata.org/entity/Q206497,The Blind Side,http://www.wikidata.org/entity/Q1361200,John Lee Hancock,2010-03-07T00:00:00Z,tt0878804,22881,2,http://www.wikidata.org/entity/Q40791,female,Sandra Bullock
82nd Academy Awards,2010,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q153723,Inglourious Basterds,http://www.wikidata.org/entity/Q3772,Quentin Tarantino,2010-03-07T00:00:00Z,tt0361748,16869,3,http://www.wikidata.org/entity/Q76819,male,Christoph Waltz
82nd Academy Awards,2010,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q269331,Precious,http://www.wikidata.org/entity/Q555460,Lee Daniels,2010-03-07T00:00:00Z,tt0929632,25793,3,http://www.wikidata.org/entity/Q229169,female,Mo'Nique
82nd Academy Awards,2010,Academy Award for Best Picture,http://www.wikidata.org/entity/Q183066,The Hurt Locker,http://www.wikidata.org/entity/Q34816,Kathryn Bigelow,2010-03-07T00:00:00Z,tt0887912,12162,1,http://www.wikidata.org/entity/Q1400049,,Greg Shapiro
82nd Academy Awards,2010,Academy Award for Best Director,http://www.wikidata.org/entity/Q183066,The Hurt Locker,http://www.wikidata.org/entity/Q34816,Kathryn Bigelow,2010-03-07T00:00:00Z,tt0887912,12162,1,http://www.wikidata.org/entity/Q34816,female,Kathryn Bigelow
82nd Academy Awards,2010,Academy Award for Best Actor,http://www.wikidata.org/entity/Q1128750,Crazy Heart,http://www.wikidata.org/entity/Q1750712,Scott Cooper,2010-03-07T00:00:00Z,tt1263670,25196,1,http://www.wikidata.org/entity/Q174843,male,Jeff Bridges
81st Academy Awards,2009,Academy Award for Best Actor,http://www.wikidata.org/entity/Q201687,Milk,http://www.wikidata.org/entity/Q25186,Gus Van Sant,2009-02-22T00:00:00Z,tt1013753,10139,1,http://www.wikidata.org/entity/Q44221,male,Sean Penn
81st Academy Awards,2009,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q163872,The Dark Knight,http://www.wikidata.org/entity/Q25191,Christopher Nolan,2009-02-22T00:00:00Z,tt0468569,155,3,http://www.wikidata.org/entity/Q40572,male,Heath Ledger
81st Academy Awards,2009,Academy Award for Best Actress,http://www.wikidata.org/entity/Q159063,The Reader,http://www.wikidata.org/entity/Q313506,Stephen Daldry,2009-02-22T00:00:00Z,tt0976051,8055,1,http://www.wikidata.org/entity/Q202765,female,Kate Winslet
81st Academy Awards,2009,Academy Award for Best Picture,http://www.wikidata.org/entity/Q125076,Slumdog Millionaire,http://www.wikidata.org/entity/Q134867,Danny Boyle,2009-02-22T00:00:00Z,tt1010048,12405,1,http://www.wikidata.org/entity/Q144896,male,Christian Colson
81st Academy Awards,2009,Academy Award for Best Director,http://www.wikidata.org/entity/Q125076,Slumdog Millionaire,http://www.wikidata.org/entity/Q134867,Danny Boyle,2009-02-22T00:00:00Z,tt1010048,12405,1,http://www.wikidata.org/entity/Q134867,male,Danny Boyle
81st Academy Awards,2009,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q212123,Vicky Cristina Barcelona,http://www.wikidata.org/entity/Q25089,Woody Allen,2009-02-22T00:00:00Z,tt0497465,5038,3,http://www.wikidata.org/entity/Q39666,female,Penélope Cruz
80th Academy Awards,2008,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q694140,Michael Clayton,http://www.wikidata.org/entity/Q353117,Tony Gilroy,2008-02-24T00:00:00Z,tt0465538,4566,2,http://www.wikidata.org/entity/Q200534,female,Tilda Swinton
